ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
511374,5298-0500-1,PB Classe LFO,"11,76","R$ 85,27",PO,"R$ 1.002,78"
511374,5298-0584-7,PB Classe CFO,"7,16","R$ 190,65",PO,"R$ 1.365,05"
511374,5298-0589-8,PB Classe P,"1,11","R$ 74,21",PP,"R$ 82,37"
524183,5298-0500-1,PB Classe LFO,"8,16","R$ 85,27",PO,"R$ 695,80"
524183,5298-0584-7,PB Classe CFO,"3,50","R$ 190,65",PO,"R$ 667,27"
527388,5298-0500-1,PB Classe LFO,"10,80","R$ 85,27",PO,"R$ 920,92"
527388,5298-0584-7,PB Classe CFO,"3,74","R$ 190,65",PO,"R$ 713,03"
528005,5298-0500-1,PB Classe LFO,"16,26","R$ 85,27",PO,"R$ 1.386,49"
528005,5298-0584-7,PB Classe CFO,"8,45","R$ 190,65",PO,"R$ 1.610,99"
528005,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
523066,5298-0500-1,PB Classe LFO,"26,38","R$ 85,27",PO,"R$ 2.249,42"
523066,5298-0584-7,PB Classe CFO,"9,51","R$ 190,65",PO,"R$ 1.813,08"
523066,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
528619,5298-0500-1,PB Classe LFO,"17,90","R$ 85,27",PO,"R$ 1.526,33"
528619,5298-0584-7,PB Classe CFO,"2,67","R$ 190,65",PO,"R$ 509,04"
528619,5298-0587-1,PB Classe L,"2,16","R$ 58,89",PO,"R$ 127,20"
528619,5298-0589-8,PB Classe P,"2,25","R$ 74,21",PP,"R$ 166,97"
528933,5298-0500-1,PB Classe LFO,"21,22","R$ 85,27",PO,"R$ 1.809,43"
528933,5298-0584-7,PB Classe CFO,"9,03","R$ 190,65",PO,"R$ 1.721,57"
528933,5298-0587-1,PB Classe L,"12,00","R$ 58,89",PO,"R$ 706,68"
528675,5298-0500-1,PB Classe LFO,"14,02","R$ 85,27",PO,"R$ 1.195,49"
528675,5298-0584-7,PB Classe CFO,"8,46","R$ 190,65",PO,"R$ 1.612,90"
